# 
# 08/16/2023 20:56:08
# Die für das Projekt definierten Parameter sind:
# ,P16 - Numbers,P3 - Vergleichsspannung Maximum [MPa],P4 - Vergleichsspannung Mittelwert [MPa],P5 - Gesamtverformung Maximum [mm],P6 - Gesamtverformung Mittelwert [mm],P7 - Lösung MAPDL Benötigte Zeit [s],P8 - Vergleichsspannung Minimum [MPa],P9 - Gesamtverformung Minimum [mm],P10 - Totale Vergleichsdehnung Minimum [mm mm^-1],P11 - Totale Vergleichsdehnung Maximum [mm mm^-1],P12 - Totale Vergleichsdehnung Mittelwert [mm mm^-1],P13 - Elastische Vergleichsdehnung Minimum [mm mm^-1],P14 - Elastische Vergleichsdehnung Maximum [mm mm^-1],P15 - Elastische Vergleichsdehnung Mittelwert [mm mm^-1]
# 
# Die folgende Kopfzeile definiert die Namen der Spalten durch eine Referenz auf die Parameter.
Name,P16,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15
DP 0,1,146.14739294253141,12.201726293009695,0.99469842712472412,0.34852598941812091,18,0.0080862440036608089,0,1.0556454554944139E-07,0.0019247350282967091,0.00016557199362894333,1.0556454554944139E-07,0.0019247350282967091,0.00016557199362894333
DP 1,2,95.532390125754617,10.363046055084462,0.77208112706288423,0.2755806703664061,12,0.11061896304536646,0,1.9548308500816347E-06,0.00124715908896178,0.00013974554328810115,1.9548308500816347E-06,0.00124715908896178,0.00013974554328810115
DP 2,3,338.78973091180893,12.040856610558658,1.5357208050269509,0.60886055238513936,15,0.01263962311882484,0,1.6500813160291727E-07,0.0044228425249457359,0.00016566050954665184,1.6500813160291727E-07,0.0044228425249457359,0.00016566050954665184
DP 3,4,114.48455034468581,10.730290701481239,0.96534577737119442,0.36742669229582064,13,0.041964677442980623,0,5.6032411066553323E-07,0.0014996651443652809,0.00014805208613051927,5.6032411066553323E-07,0.0014996651443652809,0.00014805208613051927
DP 4,5,96.779619024250792,10.203277992650214,0.76919166703942576,0.2554723748081244,16,0.052855728879588879,0,1.2513091860455461E-06,0.0013481173664331436,0.00013833278351616044,1.2513091860455461E-06,0.0013481173664331436,0.00013833278351616044
DP 5,6,98.812618381923514,11.160657556871298,0.92582577791503562,0.28825520127977794,15,0.025276200937197672,0,3.2997652965605084E-07,0.0012926863564644009,0.00015018710487452102,3.2997652965605084E-07,0.0012926863564644009,0.00015018710487452102
DP 6,7,230.56352617893396,12.963728852537642,1.2966130346041962,0.48446675203188594,15,0.024755506090999989,0,3.2317893783329055E-07,0.0032321546071519456,0.0001776064272815255,3.2317893783329055E-07,0.0032321546071519456,0.0001776064272815255
DP 7,8,112.96042325954542,9.1640582609936629,0.65517296971168315,0.19926667408042131,13,0,0,0,0.0014746792148798704,0.00012711571848538273,0,0.0014746792148798704,0.00012711571848538273
DP 8,9,121.0120330433847,10.419743049402943,0.88294711198870779,0.34165699986276743,16,0.049926655974267188,0,8.30493434023083E-07,0.0016059791087172925,0.00014137490816328691,8.30493434023083E-07,0.0016059791087172925,0.00014137490816328691
DP 9,10,320.3783902870926,12.122775558959914,1.4836791828255567,0.621137098790373,16,0.0011204805029706713,0,2.5184052176996374E-08,0.0041824853979051113,0.00016781499096083302,2.5184052176996374E-08,0.0041824853979051113,0.00016781499096083302
